"filename", "language", "JavaScript", "JSON", "Groovy", "Objective-C", "Batch", "Properties", "XML", "Java", "C++", "comment", "blank", "total"
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\.prettierrc.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\App.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 81
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\__tests__\App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\build.gradle", "Groovy", 0, 0, 95, 0, 0, 0, 0, 0, 0, 111, 24, 230
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\debug\java\com\themovieapp\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 59, 0, 8, 6, 73
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\main\java\com\themovieapp\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 4, 16
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\main\java\com\themovieapp\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 64, 0, 13, 9, 86
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 10
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\build.gradle", "Groovy", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 5, 39
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 4, 0, 0, 0, 19, 7, 30
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\gradlew.bat", "Batch", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 25, 101
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\android\settings.gradle", "Groovy", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 10
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieAppTests\TheMovieAppTests.m", "Objective-C", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 15, 66
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieApp\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieApp\AppDelegate.m", "Objective-C", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 11, 59
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieApp\Base.lproj\LaunchScreen.xib", "XML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieApp\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieApp\Images.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\ios\TheMovieApp\main.m", "Objective-C", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\metro.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\package-lock.json", "JSON", 0, 11847, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11848
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\package.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\assets\images\voteIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\about.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\actorComponent.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
